SNP position	P	Odds ratio	gene	product
669992	6.82E-17	3.591006	-	endonuclease/exonuclease/phosphatase family protein
683990	7.11E-17	0.4790227	rpsP	30S ribosomal protein S16
291286	7.68E-17	64.31845	mraW	S-adenosyl-methyltransferase MraW
696850	8.79E-17	2.101656	-	permease
453749	1.12E-16	3.578196	-	hypothetical protein
454324	1.31E-16	0.1004794	-	hypothetical protein
291982	1.34E-16	4.94476	pbpX	penicillin binding protein 2x
512467	1.45E-16	3.229981	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
512519	1.45E-16	3.32796	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
297653	2.24E-16	3.67279	clpL	ATP-dependent protease ATP-binding subunit ClpL
1344296	2.52E-16	1.557823	hemN	coproporphyrinogen III oxidase
550519	2.54E-16	0.1416828	-	hypothetical protein
870534	2.56E-16	33.80508	pmrA	multi-drug resistance efflux pump
292017	2.89E-16	5.072139	pbpX	penicillin binding protein 2x
858754	3.03E-16	2.658051	-	hypothetical protein
704972	3.86E-16	1.083568	-	PEP-utilizing enzyme
2135585	3.89E-16	0.08227731	fucI	L-fucose isomerase
550732	4.53E-16	0	-	hypothetical protein
2076488	4.73E-16	1.968011	malX	maltose/maltodextrin-binding protein precursor
211621	5.12E-16	5.950958	intergenic	n/a
480231	5.17E-16	0.08394175	-	hypothetical protein
2069855	5.28E-16	2.304658	-	ribosomal RNA large subunit methyltransferase A
500776	6.10E-16	0.4405135	-	beta-glucoside-specific phosphotransferase system (PTS), IIABC component
915280	6.24E-16	0.4811471	-	methyltransferase
480895	7.16E-16	7.510239	infB	translation initiation factor IF-2
128367	7.25E-16	0.09126499	gidA	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
908366	7.59E-16	2.846996	intergenic	n/a
1387297	8.12E-16	0.3354204	ogt	methylated-DNA--protein-cysteine methyltransferase
1453975	9.79E-16	0.5369696	-	hypothetical protein
1897055	1.00E-15	0.4272809	-	hypothetical protein
2073505	1.65E-15	3.717109	glgP	glycogen phosphorylase
663761	1.75E-15	0.3992857	-	hypothetical protein
190364	1.78E-15	0.4394037	-	phosphoribulokinase
10676	1.83E-15	0.4822286	-	ATP-binding PP-loop family protein
100137	2.10E-15	8.171096	-	hypothetical protein
678325	2.15E-15	0.2745253	-	VanZ like family protein
684917	2.53E-15	3.14685	-	hypothetical protein
483511	2.76E-15	5.689226	rbfA	ribosome-binding factor A
865683	3.13E-15	0.1325639	fbpS	fibronectin/fibrinogen-binding protein adherence and virulence protein A
2053678	3.53E-15	0.3739827	pstB3	phosphate transporter ATP-binding protein
1900998	3.56E-15	0	intergenic	n/a
1613422	4.06E-15	6.582862	penA	penicillin-binding protein 2b
1164795	4.55E-15	0.5906823	-	hypothetical protein
2133266	4.68E-15	13.29199	-	alcohol dehydrogenase
1560773	4.68E-15	4.586072	galE	UDP-glucose 4-epimerase
73044	4.68E-15	13.29199	intergenic	n/a
583371	5.02E-15	2.01892	-	sodium hydrogen exchange transporter
858633	5.69E-15	5.93039	-	hypothetical protein
2039249	5.70E-15	0.7248281	-	ABC transporter ATP-binding protein
291557	6.03E-15	6.489007	ftsL	cell division protein
469782	6.58E-15	0.1144974	blpA1	bacteriocin transport/processing ATP-binding protein BlpA
2002234	6.60E-15	25.31672	-	PTS system ascorbate-specific transporter subunit IIC
1159238	6.94E-15	0	ffh	signal recognition particle protein
696917	7.91E-15	1.695643	-	permease
1450298	8.63E-15	0.1378435	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase
1045544	8.76E-15	0.2502453	pdhB	pyruvate dehydrogenase E1 component,beta subunit
127699	9.28E-15	2.53804	-	MutT/NUDIX hydrolase family protein
135341	9.36E-15	0.2334239	-	DNA-binding/iron metalloprotein/AP endonuclease
78474	1.03E-14	3.322466	intergenic	n/a
330047	1.08E-14	0.0696372	-	cell wall surface anchored protein
1168343	1.18E-14	1.639064	gdh	glutamate dehydrogenase
454097	1.22E-14	0.08932653	-	hypothetical protein
1669603	1.31E-14	4.507369	mvaA	3-hydroxy-3-methylglutaryl-coenzyme A reductase
673390	1.56E-14	11.64734	intergenic	n/a
514384	1.60E-14	4.005431	intergenic	n/a
1992541	1.67E-14	2.307965	tkt	transketolase
2185591	1.78E-14	1.768518	-	DHH family protein
480092	1.99E-14	7.292399	-	hypothetical protein
1122711	2.21E-14	6.847136	-	hypothetical protein
1587446	2.32E-14	0.4332984	mtsB	metal cation ABC transporter ATP-binding protein
454476	2.67E-14	0.4624283	intergenic	n/a
917635	2.84E-14	1.462611	glyA	serine hydroxymethyltransferase
206946	3.11E-14	0.4814739	-	hypothetical protein
1566849	3.29E-14	Inf	-	acyltransferase
34098	3.29E-14	Inf	sms	DNA repair protein RadA
1579122	3.29E-14	Inf	-	hypothetical protein
1452370	3.29E-14	Inf	-	hypothetical protein
1849248	3.29E-14	Inf	-	peptide ABC transporter ATP-binding protein
1449693	3.29E-14	Inf	intergenic	n/a
906915	3.67E-14	2.027153	mscL	large-conductance mechanosensitive channel
908948	3.67E-14	2.659982	intergenic	n/a
211777	3.84E-14	1.75958	intergenic	n/a
139559	4.76E-14	0.09126499	-	glycosyl transferase
363409	5.05E-14	2.105588	tig	trigger factor
871047	5.32E-14	7.972069	pmrA	multi-drug resistance efflux pump
885289	5.70E-14	0.2158637	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
125789	5.75E-14	0.6196521	intergenic	n/a
1400307	5.80E-14	0.228433	-	aldo/keto reductase family protein
236348	6.17E-14	0.3798512	glmS	glucosamine--fructose-6-phosphate aminotransferase
210298	7.10E-14	1.780511	-	ABC transporter permease
511456	7.27E-14	Inf	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2035306	7.27E-14	0.4266539	gltX	glutamyl-tRNA synthetase
136082	7.73E-14	5.779816	-	transposase
549937	8.27E-14	0.9149364	-	uracil DNA glycosylase superfamily protein
1164940	8.28E-14	0.1428091	-	hypothetical protein
679500	8.40E-14	0	-	ABC transporter ATP-binding protein
2173817	1.01E-13	7.729333	-	two-component system, sensor histidine kinase
1992568	1.04E-13	2.462919	tkt	transketolase
1120981	1.06E-13	1.618737	-	guanosine 5'-monophosphate oxidoreductase
628791	1.06E-13	Inf	-	L-lactate oxidase-related protein
467011	1.08E-13	0.07041019	blpC	peptide pheromone BlpC (bacteriocin-like peptide)
327613	1.13E-13	0.4081343	-	cell wall surface anchored protein
610955	1.14E-13	0.9042195	intergenic	n/a
2042912	1.15E-13	0.1144925	mutS	DNA mismatch repair protein MutS
127101	1.16E-13	0.17042	mnmA	tRNA-specific 2-thiouridylase MnmA
1988156	1.19E-13	2.242653	intergenic	n/a
1924157	1.26E-13	14.99116	rpoB	DNA-directed RNA polymerase subunit beta
333372	1.27E-13	0.2008417	pbp1A	penicillin-binding protein 1A
1612489	1.37E-13	9.71098	penA	penicillin-binding protein 2b
602882	1.43E-13	1.943376	thyA	thymidylate synthase
283271	1.53E-13	1.220967	ugl	unsaturated glucuronyl hydrolase
10616	1.57E-13	0.5230549	-	ATP-binding PP-loop family protein
1389649	1.62E-13	0.2120908	-	glutamine amidotransferase subunit PdxT
269921	1.70E-13	0	rpsI	30S ribosomal protein S9
2050480	1.78E-13	1.424267	phoR	alkaline phosphatase synthesis sensor protein
1164648	1.81E-13	0.5909894	-	camphor resistance protein CrcB
1160238	1.83E-13	0.0894733	ffh	signal recognition particle protein
1981361	2.13E-13	12.42288	-	dicarboxylate carrier protein
1353038	2.28E-13	0.2481923	intergenic	n/a
443189	2.38E-13	0.1168942	glnA	glutamine synthetase
1164734	2.45E-13	0.4259141	-	hypothetical protein
454190	2.45E-13	0.09328253	-	hypothetical protein
500027	2.47E-13	0	-	transcription antiterminator
267970	2.51E-13	0	-	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
2129782	2.51E-13	0	-	hypothetical protein
1991629	2.54E-13	0.1047451	-	hypothetical protein
1344536	2.79E-13	0.1144974	hemN	coproporphyrinogen III oxidase
1106682	2.95E-13	1.88619	uvrB	excinuclease ABC subunit B
631521	3.06E-13	13.20893	lctO	L-lactate oxidase
1982954	3.14E-13	0	intergenic	n/a
1387255	3.18E-13	0.4257234	ogt	methylated-DNA--protein-cysteine methyltransferase
1928562	3.38E-13	12.03496	-	transport protein
857538	3.45E-13	0.3653424	-	ABC transporter ATP-binding protein
135329	3.58E-13	0.2695736	-	DNA-binding/iron metalloprotein/AP endonuclease
164425	3.96E-13	1.568487	mutL	DNA mismatch repair protein
284013	4.08E-13	0	ugl	unsaturated glucuronyl hydrolase
2033865	4.13E-13	0.6265221	intergenic	n/a
2041271	4.19E-13	0.09538409	-	ABC transporter ATP-binding protein
1430398	4.19E-13	0.05830677	atpB	F0F1 ATP synthase subunit A
408520	4.19E-13	0.05830677	-	glutamine ABC transporter, glutamine-binding protein/permease protein
708162	4.23E-13	0	pepN	lysyl-aminopeptidase
716084	4.23E-13	0	-	peptidoglycan biosynthesis membrane protein
1898028	4.47E-13	1.8577	intergenic	n/a
917701	4.61E-13	1.429006	glyA	serine hydroxymethyltransferase
177680	4.76E-13	0.6105395	-	metallopeptidase
483557	4.94E-13	1.989776	rbfA	ribosome-binding factor A
215968	5.26E-13	1.259719	-	sugar phosphotransferase system (PTS),lactose/cellobiose-specific family, IIA component
467200	5.52E-13	1.99505	blpB	ABC transporter
885876	5.91E-13	2.819848	-	ADP-ribose pyrophosphatase
678841	7.05E-13	0	-	ABC transporter ATP-binding protein
679148	7.05E-13	0	-	ABC transporter ATP-binding protein
658811	7.05E-13	0	-	branched-chain amino acid ABC transporter, amino acid-binding protein
675736	7.05E-13	0	holA	DNA polymerase III subunit delta
670139	7.05E-13	0	-	endonuclease/exonuclease/phosphatase family protein
670052	7.05E-13	0	-	endonuclease/exonuclease/phosphatase family protein
1995682	7.05E-13	0	-	L-ascorbate 6-phosphate lactonase
659771	7.05E-13	0	intergenic	n/a
270294	7.05E-13	0	intergenic	n/a
682957	7.05E-13	0	intergenic	n/a
325410	7.26E-13	0	aliA	extracellular oligopeptide-binding protein
1107090	7.28E-13	1.88619	uvrB	excinuclease ABC subunit B
131219	7.44E-13	0	-	metallo-beta-lactamase superfamily protein
1351615	7.51E-13	2.348684	intergenic	n/a
679762	7.88E-13	0	-	ABC transporter ATP-binding protein
480759	8.12E-13	0.1842144	infB	translation initiation factor IF-2
1455314	9.21E-13	1.075054	-	cyclophilin type peptidyl-prolyl cis-trans isomerase protein
299963	9.62E-13	0	-	hypothetical protein
290493	9.68E-13	0	intergenic	n/a
299741	1.05E-12	0	-	hypothetical protein
876920	1.05E-12	19.84015	pepB	oligopeptidase
547053	1.10E-12	1.988708	-	extracellular solute-binding protein
537332	1.11E-12	14.43405	-	phosphoesterase
1581731	1.15E-12	0.6511222	relA	GTP pyrophosphokinase
2005519	1.16E-12	0	ackA	acetate kinase
328853	1.16E-12	0	-	cell wall surface anchored protein
328798	1.16E-12	0	-	cell wall surface anchored protein
1087792	1.16E-12	0	-	formate/nitrate transport protein
1973702	1.16E-12	0	pbp2A	penicillin-binding protein 2a
1890471	1.16E-12	0	ply	pneumolysin (thiol-activated cytolysin)
136432	1.16E-12	0	-	transposase
136830	1.16E-12	0	-	transposase
968404	1.16E-12	0	murZ	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
1818360	1.16E-12	0	-	zinc-binding dehydrogenase
138376	1.16E-12	0	intergenic	n/a
967742	1.16E-12	0	intergenic	n/a
1806122	1.16E-12	0	intergenic	n/a
677290	1.20E-12	0	-	hypothetical protein
1141657	1.22E-12	0.3822883	-	phosphotransferase LicD1
1780859	1.24E-12	21.68075	trpC	indole-3-glycerol-phosphate synthase
666621	1.36E-12	2.822952	ftsX	cell division protein
1592940	1.39E-12	2.086469	-	ABC transporter permease
708190	1.43E-12	1.905463	pepN	lysyl-aminopeptidase
864947	1.62E-12	0.09757504	fbpS	fibronectin/fibrinogen-binding protein adherence and virulence protein A
922509	1.62E-12	1.257501	-	hypothetical protein
419479	1.64E-12	13.81985	intergenic	n/a
458276	1.69E-12	1.217915	dnaK	molecular chaperone DnaK
96461	1.96E-12	0	-	extracellular solute-binding protein
863271	1.97E-12	9.694787	lytB	endo-beta-N-acetylglucosaminidase
763086	1.99E-12	2.035199	rpsA	30S ribosomal protein S1
1953400	2.04E-12	9.694787	intergenic	n/a
1296452	2.05E-12	0	thrB	homoserine kinase
1123860	2.19E-12	4.177298	-	endonuclease
918317	2.19E-12	1.338338	-	hypothetical protein
543446	2.22E-12	20.75798	-	protease
556922	2.22E-12	19.84015	intergenic	n/a
1056225	2.22E-12	19.84015	intergenic	n/a
675538	2.24E-12	12.20583	holA	DNA polymerase III subunit delta
1616396	2.25E-12	2.909714	-	ROK family protein
480738	2.34E-12	0.1879495	infB	translation initiation factor IF-2
909242	2.40E-12	1.213532	asd	aspartate-semialdehyde dehydrogenase
236312	2.41E-12	0.3812105	glmS	glucosamine--fructose-6-phosphate aminotransferase
917690	2.51E-12	1.383481	glyA	serine hydroxymethyltransferase
917669	2.51E-12	1.383481	glyA	serine hydroxymethyltransferase
2052392	2.57E-12	0.1246711	-	ABC transporter permease
1056938	2.63E-12	6.943878	pstI	phosphoenolpyruvate-protein phosphotransferase
1056711	2.63E-12	6.677933	pstI	phosphoenolpyruvate-protein phosphotransferase
1056567	2.63E-12	6.943878	pstI	phosphoenolpyruvate-protein phosphotransferase
1056510	2.63E-12	6.677933	pstI	phosphoenolpyruvate-protein phosphotransferase
675053	2.77E-12	13.81985	holA	DNA polymerase III subunit delta
675486	2.77E-12	13.81985	holA	DNA polymerase III subunit delta
408848	2.88E-12	2.095236	intergenic	n/a
770478	2.90E-12	2.185846	csdB	cysteine desulfurase
142980	3.31E-12	21.68075	-	acetyltransferase
603095	3.39E-12	20.75798	thyA	thymidylate synthase
603134	3.39E-12	20.75798	thyA	thymidylate synthase
1574260	3.49E-12	1.719764	-	sensor histidine kinase protein
773352	3.73E-12	21.68075	-	D-alanyl-D-alanine carboxypeptidase
1579251	3.86E-12	20.75798	-	hypothetical protein
896145	3.86E-12	1.255032	phtD	pneumococcal histidine triad protein D (bvh-11-2)
1898617	4.09E-12	0	-	cell wall-binding amidase
1928325	4.10E-12	5.072067	-	transport protein
1895299	4.22E-12	1.83795	-	hypothetical protein
1449677	4.23E-12	1.382672	intergenic	n/a
1294471	4.56E-12	19.84015	-	ABC transporter ATP-binding protein
1804798	4.56E-12	19.84015	-	ABC transporter ATP-binding protein/permease
525882	4.56E-12	13.20893	-	ABC transporter permease
1393408	4.56E-12	19.84015	-	ApbE family protein
2046117	4.56E-12	21.68075	argS	arginyl-tRNA synthetase
2046555	4.56E-12	19.84015	argS	arginyl-tRNA synthetase
2045791	4.56E-12	6.300592	argS	arginyl-tRNA synthetase
1459029	4.56E-12	13.81985	asnC	asparaginyl-tRNA synthetase
1460023	4.56E-12	20.75798	aspC	aspartate aminotransferase
1459941	4.56E-12	20.75798	aspC	aspartate aminotransferase
1016046	4.56E-12	19.84015	addB	ATP-dependent exonuclease subunit B
1989604	4.56E-12	19.84015	adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase
2126694	4.56E-12	19.84015	arcC	carbamate kinase
1786808	4.56E-12	13.20893	-	cation transporter
2067939	4.56E-12	19.84015	-	cation transporting ATPase
1543562	4.56E-12	6.575933	-	DEAD/DEAH box helicase
1837300	4.56E-12	19.84015	-	deoxyribonucleotide triphosphate pyrophosphatase/hypothetical protein
1481811	4.56E-12	19.84015	dapB	dihydrodipicolinate reductase
163970	4.56E-12	20.75798	mutL	DNA mismatch repair protein
164872	4.56E-12	20.75798	mutL	DNA mismatch repair protein
164756	4.56E-12	19.84015	mutL	DNA mismatch repair protein
887794	4.56E-12	31.65056	-	DNA polymerase III subunit epsilon
753267	4.56E-12	20.75798	parE	DNA topoisomerase IV subunit B
752675	4.56E-12	19.84015	parE	DNA topoisomerase IV subunit B
1586092	4.56E-12	19.84015	pepO	endopeptidase O
1986841	4.56E-12	19.84015	-	exported PTS system protein
1852990	4.56E-12	19.84015	-	extracellular oligopeptide-binding protein
1079927	4.56E-12	19.84015	fps	geranyltranstransferase
1387571	4.56E-12	19.84015	-	GNAT family acetyltransferase
1682239	4.56E-12	19.84015	gmk	guanylate kinase
1380019	4.56E-12	19.84015	-	haloacid dehalogenase-like hydrolase
1085584	4.56E-12	19.84015	-	hypothetical protein
1423142	4.56E-12	19.84015	-	hypothetical protein
1051473	4.56E-12	19.84015	-	hypothetical protein
1692078	4.56E-12	19.84015	-	hypothetical protein
2087466	4.56E-12	19.84015	-	hypothetical protein
423441	4.56E-12	19.84015	-	hypothetical protein
1829530	4.56E-12	19.84015	-	iron compound ABC transporter permease
2004087	4.56E-12	19.84015	-	membrane protein OxaA 1 precursor
539366	4.56E-12	20.75798	-	metallo-beta-lactamase superfamily protein
914758	4.56E-12	19.84015	-	methyltransferase
870439	4.56E-12	19.84015	pmrA	multi-drug resistance efflux pump
2114071	4.56E-12	19.84015	gcnA	N-acetyl-beta-D-glucosaminidase
876828	4.56E-12	19.84015	pepB	oligopeptidase
876947	4.56E-12	19.84015	pepB	oligopeptidase
2125929	4.56E-12	19.84015	arcB	ornithine carbamoyltransferase
1847519	4.56E-12	4.917619	-	peptide ABC transporter ATP-binding protein
2019600	4.56E-12	19.84015	-	pyrrolidone-carboxylate peptidase
168716	4.56E-12	20.75798	ribD	riboflavin biosynthesis protein
834380	4.56E-12	19.84015	-	RNA pseudouridylate synthase
833903	4.56E-12	19.84015	-	RNA pseudouridylate synthase
1834703	4.56E-12	19.84015	scpA	segregation and condensation protein A
1842507	4.56E-12	20.75798	-	sugar phosphotransferase system (PTS), IIABC component
569825	4.56E-12	10.34763	-	sugar phosphotransferase system (PTS), IIB component
242481	4.56E-12	19.84015	-	surface-anchored pullulanase
1590324	4.56E-12	19.84015	tpx	thiol peroxidase
603218	4.56E-12	20.75798	thyA	thymidylate synthase
603254	4.56E-12	20.75798	thyA	thymidylate synthase
527691	4.56E-12	19.84015	-	two-component system, response regulator
1808389	4.56E-12	5.145032	xpt	xanthine phosphoribosyltransferase
1808776	4.56E-12	19.84015	xpt	xanthine phosphoribosyltransferase
591634	4.56E-12	20.75798	zmpB	zinc metalloproteinase ZmpB
2149078	4.56E-12	19.84015	adcA	zinc-binding protein AdcA precursor
2208054	4.56E-12	19.84015	intergenic	n/a
1082943	4.56E-12	13.20893	intergenic	n/a
930532	4.56E-12	20.75798	intergenic	n/a
1350572	4.56E-12	21.68075	intergenic	n/a
1738180	4.56E-12	19.84015	intergenic	n/a
1763650	4.56E-12	22.60849	intergenic	n/a
79076	4.56E-12	21.68075	intergenic	n/a
540571	4.56E-12	13.81985	intergenic	n/a
1072975	4.56E-12	10.34763	intergenic	n/a
2162968	4.56E-12	19.84015	intergenic	n/a
1806220	4.56E-12	19.84015	intergenic	n/a
770782	4.58E-12	1.96998	iscU	FeS assembly NifU-like protein
771630	4.58E-12	1.990961	sufB	FeS assembly protein SufB
1168023	4.99E-12	0.7917377	intergenic	n/a
1089120	5.05E-12	37.906	gyrA	DNA gyrase subunit A
508775	5.16E-12	0.4326541	-	integral membrane protein
1546606	5.16E-12	0.5095386	-	pyridine nucleotide-disulfide oxidoreductase
1924466	5.59E-12	0.3875368	rpoB	DNA-directed RNA polymerase subunit beta
954665	5.73E-12	4.839227	ppc	phosphoenolpyruvate carboxylase
1047233	5.86E-12	0.7688239	-	multidrug resistance protein
617331	5.86E-12	1.813149	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
632384	5.92E-12	1.221726	intergenic	n/a
1399660	6.13E-12	0.5858129	-	hypothetical protein
1102260	6.31E-12	20.75798	-	hypothetical protein
654882	6.33E-12	0	-	fatty-acid binding protein
290545	6.70E-12	10.94346	intergenic	n/a
662696	6.72E-12	19.84015	-	branched-chain amino acid transport ATP-binding protein
551865	6.72E-12	19.84015	brnQ	branched-chain amino acid transport system carrier protein
1785403	6.72E-12	19.84015	-	LacI-family transcriptional regulator (catabolite control protein)
796202	6.72E-12	19.84015	-	type I restriction modification system restriction protein
789055	6.72E-12	19.84015	-	type I RM modification enzyme
1146933	6.72E-12	19.84015	intergenic	n/a
208878	7.47E-12	1.198376	-	ABC transporter permease
1121544	7.77E-12	2.209836	intergenic	n/a
634383	7.80E-12	1.940091	thiM	hydroxyethylthiazole kinase
884979	8.17E-12	2.863358	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase
377426	8.21E-12	1.606104	-	aspartate kinase
282281	8.29E-12	0	intergenic	n/a
1815978	8.48E-12	4.917619	galK	galactokinase
9485	9.04E-12	0.1378435	-	hypothetical protein
1612954	9.09E-12	5.662372	penA	penicillin-binding protein 2b
885978	9.52E-12	2.13129	-	ADP-ribose pyrophosphatase
523019	9.91E-12	19.84015	-	hypothetical protein
506562	9.91E-12	10.34763	pheT	phenylalanyl-tRNA synthetase subunit beta
555245	1.08E-11	20.75798	intergenic	n/a
143402	1.14E-11	5.590648	-	acetyltransferase
1569636	1.16E-11	5.626449	-	hypothetical protein
502003	1.23E-11	0.03652396	-	beta-glucoside-specific phosphotransferase system (PTS), IIABC component
915427	1.23E-11	1.406319	-	methyltransferase
899030	1.24E-11	0.5205828	phtE	pneumococcal histidine triad protein E (Bvh-3)
1834338	1.25E-11	5.210135	scpB	segregation and condensation protein B
284226	1.34E-11	0	agaV	N-acetylgalactosamine-specific phosphotransferase system (PTS), IIB component
286193	1.34E-11	0	agaD	N-acetylgalactosamine-specific phosphotransferase system (PTS), IID component
1889662	1.45E-11	0.111258	ply	pneumolysin (thiol-activated cytolysin)
1889755	1.45E-11	0.111258	ply	pneumolysin (thiol-activated cytolysin)
1125630	1.45E-11	15.67244	intergenic	n/a
885750	1.50E-11	0.5587758	-	ADP-ribose pyrophosphatase
1993954	1.50E-11	0.03236951	tkt	transketolase
1147094	1.60E-11	20.75798	carA	carbamoyl phosphate synthase small subunit
626336	1.65E-11	Inf	intergenic	n/a
1597247	1.83E-11	15.05157	gpmA	phosphoglyceromutase
893405	1.83E-11	1.748902	intergenic	n/a
219172	1.86E-11	18.92721	pflD	formate acetyltransferase
443828	1.86E-11	18.92721	glnA	glutamine synthetase
9815	1.86E-11	18.92721	-	hypothetical protein
221120	1.86E-11	0.8496886	intergenic	n/a
817083	1.86E-11	19.84015	intergenic	n/a
1414864	1.86E-11	18.92721	intergenic	n/a
520286	2.16E-11	19.84015	-	leucine-rich protein
520647	2.16E-11	19.84015	-	leucine-rich protein
1899953	2.29E-11	0.604154	-	drug/sodium antiporter
1350400	2.31E-11	0.2120908	intergenic	n/a
1670466	2.39E-11	13.81985	mvaA	3-hydroxy-3-methylglutaryl-coenzyme A reductase
1050153	2.54E-11	9.006745	mutX	mutator MutX protein (7,8-dihydro-8-oxoguanine-triphosphatase)
1057056	2.57E-11	7.493219	pstI	phosphoenolpyruvate-protein phosphotransferase
1167951	2.74E-11	4.917619	intergenic	n/a
1351534	2.89E-11	0.2543761	intergenic	n/a
680226	2.96E-11	1.500275	-	ABC transporter ATP-binding protein
525252	3.21E-11	0.6217189	-	ABC transporter ATP-binding protein
629853	3.23E-11	7.185816	lysS	lysyl-tRNA synthetase
456160	3.27E-11	1.608973	intergenic	n/a
1992922	3.44E-11	0.1047451	tkt	transketolase
702214	3.50E-11	0.4603429	-	hypothetical protein
857289	3.53E-11	0.5292678	-	ABC transporter ATP-binding protein
